[2025-11-26 23:57:41] [WARNING ] [ShellScript  ] : LIMPEZA COMPLETA REALIZADA
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : receive_response_headers.complete return_value=(200, [(b'date', b'Thu, 27 Nov 2025 02:57:50 GMT'), (b'content-type', b'application/json; charset=utf-8'), (b'content-length', b'2'), (b'server', b'cloudflare'), (b'content-range', b'*/*'), (b'cf-ray', b'9a4e5c3fdc9be1ab-GRU'), (b'cf-cache-status', b'DYNAMIC'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'content-profile', b'public'), (b'preference-applied', b'return=representation'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'rumhqljidmwkctjojqdw'), (b'sb-request-id', b'019ac33e-e3ea-71f6-928d-4a8654d385e3'), (b'x-content-type-options', b'nosniff'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'53'), (b'set-cookie', b'__cf_bm=IkxEAoFpj8VLIbsWdy_mKPwiXkVnz0cMZA7nFlJBA3U-1764212270-1.0.1.1-1orc9XIYMVTv0xTS.xZ_CLxivKF2iNv6CqyDWtHw.ZgIVq4WXMAXMzI6gqajkAaDcWQe2lukj5KUq65v4Ig6gnXkAvyQUli_s8G0cV6KnW0; path=/; expires=Thu, 27-Nov-25 03:27:50 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None'), (b'vary', b'Accept-Encoding'), (b'alt-svc', b'h3=":443"; ma=86400')])
[2025-11-26 23:57:51] [INFO    ] [httpx] : HTTP Request: DELETE https://rumhqljidmwkctjojqdw.supabase.co/rest/v1/dispositivos?mac_address=neq.0 "HTTP/2 200 OK"
[2025-11-26 23:57:51] [INFO    ] [httpx] : HTTP Request: DELETE https://rumhqljidmwkctjojqdw.supabase.co/rest/v1/dispositivos?mac_address=neq.0 "HTTP/2 200 OK"
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : receive_response_body.started request=<Request [b'DELETE']> stream_id=1
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : receive_response_body.complete
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : response_closed.started stream_id=1
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : response_closed.complete
[2025-11-26 23:57:52] [INFO    ] [ScenarioGeneratorAPI] : Baixando e processando mapa OSM...
[2025-11-26 23:57:52] [INFO    ] [ScenarioGeneratorAPI] : Baixando e processando mapa OSM...
[2025-11-26 23:58:48] [INFO    ] [ScenarioGeneratorAPI] : Extraindo topologia exata do SUMO...
